sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
3660;DHT22;1846;51.482;7.224;2021-07-30T06:01:23;18.00;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:03:50;18.00;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:06:17;18.00;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T06:08:44;18.00;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:11:11;18.10;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:13:38;18.00;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:16:08;18.00;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T06:18:35;17.90;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:21:03;18.00;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:23:30;18.10;84.80
3660;DHT22;1846;51.482;7.224;2021-07-30T06:25:57;18.20;63.10
3660;DHT22;1846;51.482;7.224;2021-07-30T06:28:24;18.30;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T06:30:50;18.30;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T06:33:19;18.50;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:35:48;18.60;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:38:16;18.70;63.00
3660;DHT22;1846;51.482;7.224;2021-07-30T06:40:44;18.80;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:43:11;18.80;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:45:38;18.80;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:48:05;18.90;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:50:33;18.90;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:53:00;19.30;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T06:55:27;19.30;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T06:57:53;19.50;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T07:00:20;19.50;41.50
3660;DHT22;1846;51.482;7.224;2021-07-30T07:02:47;19.60;47.30
3660;DHT22;1846;51.482;7.224;2021-07-30T07:05:14;19.60;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T07:07:43;19.60;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T07:10:10;19.90;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T07:12:38;20.10;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T07:15:05;20.10;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T07:17:32;19.90;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T07:19:59;19.90;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T07:22:26;19.80;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T07:24:55;20.10;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T07:27:22;20.20;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T07:29:49;20.30;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T07:32:15;20.20;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T07:34:42;20.30;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T07:37:09;20.20;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T07:39:36;20.20;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T07:42:04;20.50;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T07:44:31;20.50;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T07:46:57;20.50;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T07:49:26;20.60;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T07:51:52;20.60;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T07:54:19;20.60;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T07:56:46;20.80;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T07:59:14;20.80;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T08:01:41;20.90;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T08:04:07;20.90;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T08:06:34;21.10;99.90
3660;DHT22;1846;51.482;7.224;2021-07-30T08:09:01;21.40;67.30
3660;DHT22;1846;51.482;7.224;2021-07-30T08:11:27;21.60;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:13:54;21.50;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:16:26;21.70;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:18:53;21.60;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:21:20;21.60;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:23:47;21.80;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:26:13;21.90;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:28:40;21.90;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:31:07;21.90;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:33:35;21.90;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:36:05;22.10;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:38:31;22.00;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:40:58;22.00;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:43:25;22.00;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:45:52;22.20;1.00
3660;DHT22;1846;51.482;7.224;2021-07-30T08:48:19;22.20;1.00
